USER_ID,STATION_ID,DATE,DAY,TIME_SLOT,AVG_USE,PEAK_USE
12021,101,4/3/2016,Sunday,1,418,448
12021,101,4/3/2016,Sunday,2,438,468
12021,101,4/3/2016,Sunday,3,186,216
12021,101,4/3/2016,Sunday,4,356,386
12021,101,4/3/2016,Sunday,5,228,258
12021,101,4/3/2016,Sunday,6,396,426
12021,101,4/3/2016,Sunday,7,368,398
12021,101,4/3/2016,Sunday,8,294,324
12021,101,4/3/2016,Sunday,9,377,407
12021,101,4/3/2016,Sunday,10,265,295
12021,101,4/3/2016,Sunday,11,387,417
12021,101,4/3/2016,Sunday,12,255,285
12021,101,4/3/2016,Sunday,13,315,345
12021,101,4/3/2016,Sunday,14,296,326
12021,101,4/3/2016,Sunday,15,301,331
12021,101,4/3/2016,Sunday,16,292,322
12021,101,4/3/2016,Sunday,17,390,420
12021,101,4/3/2016,Sunday,18,432,462
12021,101,4/3/2016,Sunday,19,370,400
12021,101,4/3/2016,Sunday,20,167,197
12021,101,4/3/2016,Sunday,21,142,172
12021,101,4/3/2016,Sunday,22,412,442
12021,101,4/3/2016,Sunday,23,339,369
12021,101,4/3/2016,Sunday,24,240,270
12021,101,4/4/2016,Monday,1,238,268
12021,101,4/4/2016,Monday,2,226,256
12021,101,4/4/2016,Monday,3,427,457
12021,101,4/4/2016,Monday,4,229,259
12021,101,4/4/2016,Monday,5,380,410
12021,101,4/4/2016,Monday,6,156,186
12021,101,4/4/2016,Monday,7,146,176
12021,101,4/4/2016,Monday,8,272,302
12021,101,4/4/2016,Monday,9,272,302
12021,101,4/4/2016,Monday,10,362,392
12021,101,4/4/2016,Monday,11,446,476
12021,101,4/3/2016,Monday,12,324,354
12021,101,4/4/2016,Monday,13,275,305
12021,101,4/4/2016,Monday,14,207,237
12021,101,4/4/2016,Monday,15,192,222
12021,101,4/4/2016,Monday,16,225,255
12021,101,4/4/2016,Monday,17,407,437
12021,101,4/4/2016,Monday,18,446,476
12021,101,4/4/2016,Monday,19,421,451
12021,101,4/4/2016,Monday,20,449,479
12021,101,4/4/2016,Monday,21,403,433
12021,101,4/4/2016,Monday,22,273,303
12021,101,4/4/2016,Monday,23,324,354
12021,101,4/4/2016,Monday,24,419,449
12021,101,4/5/2016,Tuesday,1,380,410
12021,101,4/5/2016,Tuesday,2,167,197
12021,101,4/5/2016,Tuesday,3,165,195
12021,101,4/5/2016,Tuesday,4,252,282
12021,101,4/5/2016,Tuesday,5,245,275
12021,101,4/5/2016,Tuesday,6,357,387
12021,101,4/5/2016,Tuesday,7,247,277
12021,101,4/5/2016,Tuesday,8,372,402
12021,101,4/5/2016,Tuesday,9,351,381
12021,101,4/5/2016,Tuesday,10,443,473
12021,101,4/5/2016,Tuesday,11,253,283
12021,101,4/5/2016,Tuesday,12,208,238
12021,101,4/5/2016,Tuesday,13,175,205
12021,101,4/5/2016,Tuesday,14,207,237
12021,101,4/5/2016,Tuesday,15,227,257
12021,101,4/5/2016,Tuesday,16,371,401
12021,101,4/5/2016,Tuesday,17,437,467
12021,101,4/5/2016,Tuesday,18,368,398
12021,101,4/5/2016,Tuesday,19,431,461
12021,101,4/5/2016,Tuesday,20,353,383
12021,101,4/5/2016,Tuesday,21,337,367
12021,101,4/5/2016,Tuesday,22,305,335
12021,101,4/5/2016,Tuesday,23,243,273
12021,101,4/5/2016,Tuesday,24,458,488
12021,101,4/6/2016,Wednesday,1,196,226
12021,101,4/6/2016,Wednesday,2,139,169
12021,101,4/6/2016,Wednesday,3,394,424
12021,101,4/6/2016,Wednesday,4,297,327
12021,101,4/6/2016,Wednesday,5,173,203
12021,101,4/6/2016,Wednesday,6,380,410
12021,101,4/6/2016,Wednesday,7,407,437
12021,101,4/6/2016,Wednesday,8,380,410
12021,101,4/6/2016,Wednesday,9,452,482
12021,101,4/6/2016,Wednesday,10,333,363
12021,101,4/6/2016,Wednesday,11,421,451
12021,101,4/6/2016,Wednesday,12,464,494
12021,101,4/6/2016,Wednesday,13,183,213
12021,101,4/6/2016,Wednesday,14,265,295
12021,101,4/6/2016,Wednesday,15,253,283
12021,101,4/6/2016,Wednesday,16,434,464
12021,101,4/6/2016,Wednesday,17,182,212
12021,101,4/6/2016,Wednesday,18,144,174
12021,101,4/6/2016,Wednesday,19,313,343
12021,101,4/6/2016,Wednesday,20,247,277
12021,101,4/6/2016,Wednesday,21,395,425
12021,101,4/6/2016,Wednesday,22,209,239
12021,101,4/6/2016,Wednesday,23,419,449
12021,101,4/6/2016,Wednesday,24,279,309
12021,101,4/7/2016,Thursday,1,403,433
12021,101,4/7/2016,Thursday,2,192,222
12021,101,4/7/2016,Thursday,3,323,353
12021,101,4/7/2016,Thursday,4,271,301
12021,101,4/7/2016,Thursday,5,337,367
12021,101,4/7/2016,Thursday,6,136,166
12021,101,4/7/2016,Thursday,7,151,181
12021,101,4/7/2016,Thursday,8,300,330
12021,101,4/7/2016,Thursday,9,337,367
12021,101,4/7/2016,Thursday,10,442,472
12021,101,4/7/2016,Thursday,11,167,197
12021,101,4/7/2016,Thursday,12,427,457
12021,101,4/7/2016,Thursday,13,307,337
12021,101,4/7/2016,Thursday,14,286,316
12021,101,4/7/2016,Thursday,15,179,209
12021,101,4/7/2016,Thursday,16,163,193
12021,101,4/7/2016,Thursday,17,183,213
12021,101,4/7/2016,Thursday,18,408,438
12021,101,4/7/2016,Thursday,19,458,488
12021,101,4/7/2016,Thursday,20,189,219
12021,101,4/7/2016,Thursday,21,190,220
12021,101,4/7/2016,Thursday,22,355,385
12021,101,4/7/2016,Thursday,23,179,209
12021,101,4/7/2016,Thursday,24,321,351
12021,101,4/8/2016,Friday,1,311,341
12021,101,4/8/2016,Friday,2,148,178
12021,101,4/8/2016,Friday,3,163,193
12021,101,4/8/2016,Friday,4,177,207
12021,101,4/8/2016,Friday,5,161,191
12021,101,4/8/2016,Friday,6,351,381
12021,101,4/8/2016,Friday,7,208,238
12021,101,4/8/2016,Friday,8,384,414
12021,101,4/8/2016,Friday,9,361,391
12021,101,4/8/2016,Friday,10,308,338
12021,101,4/8/2016,Friday,11,464,494
