USER_ID,STATION_ID,DATE,DAY,TIME_SLOT,AVG_USE,PEAK_USE
12031,102,4/3/2016,Sunday,1,414,444
12031,102,4/3/2016,Sunday,2,455,485
12031,102,4/3/2016,Sunday,3,404,434
12031,102,4/3/2016,Sunday,4,343,373
12031,102,4/3/2016,Sunday,5,163,193
12031,102,4/3/2016,Sunday,6,415,445
12031,102,4/3/2016,Sunday,7,356,386
12031,102,4/3/2016,Sunday,8,335,365
12031,102,4/3/2016,Sunday,9,372,402
12031,102,4/3/2016,Sunday,10,257,287
12031,102,4/3/2016,Sunday,11,412,442
12031,102,4/3/2016,Sunday,12,280,310
12031,102,4/3/2016,Sunday,13,202,232
12031,102,4/3/2016,Sunday,14,197,227
12031,102,4/3/2016,Sunday,15,409,439
12031,102,4/3/2016,Sunday,16,225,255
12031,102,4/3/2016,Sunday,17,347,377
12031,102,4/3/2016,Sunday,18,456,486
12031,102,4/3/2016,Sunday,19,161,191
12031,102,4/3/2016,Sunday,20,143,173
12031,102,4/3/2016,Sunday,21,413,443
12031,102,4/3/2016,Sunday,22,318,348
12031,102,4/3/2016,Sunday,23,240,270
12031,102,4/3/2016,Sunday,24,333,363
12031,102,4/4/2016,Monday,1,436,466
12031,102,4/4/2016,Monday,2,189,219
12031,102,4/4/2016,Monday,3,192,222
12031,102,4/4/2016,Monday,4,347,377
12031,102,4/4/2016,Monday,5,226,256
12031,102,4/4/2016,Monday,6,395,425
12031,102,4/4/2016,Monday,7,176,206
12031,102,4/4/2016,Monday,8,182,212
12031,102,4/4/2016,Monday,9,238,268
12031,102,4/4/2016,Monday,10,459,489
12031,102,4/4/2016,Monday,11,312,342
12031,102,4/3/2016,Monday,12,454,484
12031,102,4/4/2016,Monday,13,448,478
12031,102,4/4/2016,Monday,14,357,387
12031,102,4/4/2016,Monday,15,296,326
12031,102,4/4/2016,Monday,16,374,404
12031,102,4/4/2016,Monday,17,254,284
12031,102,4/4/2016,Monday,18,290,320
12031,102,4/4/2016,Monday,19,375,405
12031,102,4/4/2016,Monday,20,164,194
12031,102,4/4/2016,Monday,21,317,347
12031,102,4/4/2016,Monday,22,430,460
12031,102,4/4/2016,Monday,23,237,267
12031,102,4/4/2016,Monday,24,404,434
12031,102,4/5/2016,Tuesday,1,229,259
12031,102,4/5/2016,Tuesday,2,331,361
12031,102,4/5/2016,Tuesday,3,286,316
12031,102,4/5/2016,Tuesday,4,225,255
12031,102,4/5/2016,Tuesday,5,266,296
12031,102,4/5/2016,Tuesday,6,462,492
12031,102,4/5/2016,Tuesday,7,201,231
12031,102,4/5/2016,Tuesday,8,369,399
12031,102,4/5/2016,Tuesday,9,449,479
12031,102,4/5/2016,Tuesday,10,422,452
12031,102,4/5/2016,Tuesday,11,448,478
12031,102,4/5/2016,Tuesday,12,234,264
12031,102,4/5/2016,Tuesday,13,281,311
12031,102,4/5/2016,Tuesday,14,381,411
12031,102,4/5/2016,Tuesday,15,155,185
12031,102,4/5/2016,Tuesday,16,266,296
12031,102,4/5/2016,Tuesday,17,415,445
12031,102,4/5/2016,Tuesday,18,180,210
12031,102,4/5/2016,Tuesday,19,186,216
12031,102,4/5/2016,Tuesday,20,331,361
12031,102,4/5/2016,Tuesday,21,142,172
12031,102,4/5/2016,Tuesday,22,161,191
12031,102,4/5/2016,Tuesday,23,381,411
12031,102,4/5/2016,Tuesday,24,233,263
12031,102,4/6/2016,Wednesday,1,410,440
12031,102,4/6/2016,Wednesday,2,315,345
